Date,Area,Duration,Visitors,Holiday
01/07/2019,Palazzo Poggi,3.0,2088,False
01/07/2019,Facoltà Di Giurisprudenza,150.0,4,False
01/07/2019,Palazzo Poggi,50.0,77,False
01/07/2019,Palazzo Poggi,15.0,344,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),360.0,88,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),150.0,77,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),3.0,3694,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),300.0,9,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),150.0,22,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),50.0,67,False
01/07/2019,Piazza Rossini (Palazzo Malvezzi),7.5,487,False
01/07/2019,2 Torri (Inizio Portico Via Zamboni),7.5,940,False
01/07/2019,Facoltà Di Giurisprudenza,7.5,401,False
01/07/2019,Piazza Verdi,50.0,329,False
01/07/2019,Via Del Guasto,300.0,0,False
01/07/2019,Via Del Guasto,105.0,0,False
01/07/2019,Via Del Guasto,75.0,0,False
01/07/2019,Via Del Guasto,50.0,0,False
01/07/2019,Palazzo Poggi,150.0,4,False
01/07/2019,Facoltà Di Giurisprudenza,105.0,3,False
01/07/2019,Palazzo Poggi,75.0,42,False
02/07/2019,Facoltà Di Giurisprudenza,7.5,466,False
02/07/2019,Facoltà Di Giurisprudenza,105.0,2,False
02/07/2019,Facoltà Di Giurisprudenza,300.0,4,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),1.0,12389,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),3.0,3550,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),3.0,4071,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),75.0,44,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),360.0,40,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),15.0,913,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),210.0,39,False
02/07/2019,Facoltà Di Giurisprudenza,1.0,10586,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),50.0,67,False
02/07/2019,Piazza Verdi,360.0,38,False
02/07/2019,Via Del Guasto,7.5,0,False
02/07/2019,Piazza Verdi,15.0,1456,False
02/07/2019,Piazza Verdi,7.5,1443,False
02/07/2019,Piazza Verdi,1.0,10264,False
02/07/2019,Via Del Guasto,50.0,0,False
02/07/2019,Via Del Guasto,30.0,0,False
02/07/2019,Via Del Guasto,15.0,0,False
02/07/2019,Piazza Puntoni (Via Zamboni),75.0,155,False
02/07/2019,Via Del Guasto,3.0,0,False
02/07/2019,Via Del Guasto,1.0,0,False
02/07/2019,Palazzo Poggi,210.0,2,False
02/07/2019,Palazzo Poggi,75.0,45,False
02/07/2019,Palazzo Poggi,50.0,87,False
02/07/2019,Piazza Verdi,300.0,29,False
02/07/2019,Piazza Puntoni (Via Zamboni),210.0,45,False
02/07/2019,Palazzo Poggi,105.0,15,False
02/07/2019,Via San Giacomo,3.0,4344,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),50.0,322,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),30.0,850,False
02/07/2019,2 Torri (Inizio Portico Via Zamboni),7.5,928,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),210.0,13,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),150.0,24,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),30.0,260,False
02/07/2019,Piazza Rossini (Palazzo Malvezzi),15.0,382,False
02/07/2019,Facoltà Di Giurisprudenza,360.0,0,False
02/07/2019,Facoltà Di Giurisprudenza,210.0,1,False
02/07/2019,Facoltà Di Giurisprudenza,150.0,4,False
02/07/2019,Facoltà Di Giurisprudenza,50.0,41,False
02/07/2019,Facoltà Di Giurisprudenza,30.0,200,False
02/07/2019,Facoltà Di Giurisprudenza,3.0,3746,False
02/07/2019,Piazza Verdi,210.0,43,False
02/07/2019,Piazza Verdi,75.0,321,False
02/07/2019,Piazza Verdi,50.0,508,False
02/07/2019,Piazza Verdi,30.0,1311,False
02/07/2019,Piazza Verdi,3.0,5698,False
02/07/2019,Via Del Guasto,360.0,0,False
02/07/2019,Via Del Guasto,105.0,0,False
02/07/2019,Palazzo Poggi,30.0,303,False
02/07/2019,Palazzo Poggi,3.0,2865,False
02/07/2019,Piazza Scaravilli,30.0,255,False
02/07/2019,Piazza Scaravilli,15.0,487,False
02/07/2019,Piazza Scaravilli,7.5,681,False
02/07/2019,Via San Giacomo,150.0,20,False
02/07/2019,Via San Giacomo,75.0,67,False
02/07/2019,Piazza Puntoni (Via Zamboni),360.0,45,False
02/07/2019,Piazza Scaravilli,300.0,2,False
02/07/2019,Piazza Puntoni (Via Zamboni),105.0,82,False
02/07/2019,Piazza Scaravilli,3.0,2869,False
02/07/2019,Piazza Verdi,105.0,172,False
